Output format is unaligned.
Field separator is "	".
Null display is "NULL".
=== Q1 mi_themes history: crypto + AI lineages ===
theme_date	name	source	stage	score	rs_avg	days_active	consecutive_accelerating	parent_theme	tickers	descr
2026-08-04	AI Data Center Infrastructure Buildout	shadow_promoted	Retired	54.3	54.300000000000004	1	0	Cloud Data Storage & Analytics Infrastructure	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-05	AI Data Center Infrastructure Buildout	shadow_promoted	Nascent	46.8	46.833333333333336	2	0	NULL	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-06	AI Data Center Infrastructure Buildout	live	Retired	0.0	NULL	3	0	Cloud Data Storage & Analytics Infrastructure		Auto-retired 2026-08-06: absorbed/superseded by 'Cloud Data Storage & Analytics Infrastructure' (prior stage Nascent, 3 tickers).
2026-07-20	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	11.6	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-21	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	9.3	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-22	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	77.2	94.5	3	0	NULL	CIFR,HUT	HUT is being driven higher by its announcement of a second 15-year, $9.8 billion AI data center lease at its Beacon Point campus in Texas, which fully commercializes the 1 GW site and doubles contracted IT capacity. That
2026-07-23	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	79.0	97.9	4	1	NULL	CIFR,HUT	CIFR and HUT are being driven higher this week primarily by a sector-wide re-rating of Bitcoin miners pivoting to AI/HPC data center infrastructure after Hut 8’s new $9.8 billion Beacon Point lease and IREN’s multi-year 
2026-07-24	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	76.8	93.5	5	2	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-27	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	61.4	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-28	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	49.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-29	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	39.3	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-30	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	31.5	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-31	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	25.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-08-03	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	72.5	84.9	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-05	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	58.0	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-06	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	46.4	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
(16 rows)
=== Q2 audit rows 08-03..08-07 naming the lineages or the five tickers ===
2026-08-03 17:06:45	theme_constituent_churn	206 high-churn (theme,ticker) pair(s) in last 10d — sample: AMPL↔AI-Powered Enterpris(2), AVPT↔AI-Powered Enterpris(2), INTA↔AI-Powered Enterpris(2), ACIW↔B2B Digital Financia(2), PAY↔B2B Digital Financia(2)	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS | AMPL | reentries=2 | AI-Powered Enterprise Analytics & Intelligent Workflow SaaS | AVPT | reentries=2 | AI-Powered Enterprise Analytics & Intelligent Workflow SaaS | INTA | reentries=2 | B2B Digital Financial Infrastructure & Payment Rails Modernization | ACIW | reentries=2 | B2B Digital Financial Infrastructure & Payment Rails Modernization | PAY | reentries=2 | B2B Marketing Automation & Customer Engagement SaaS | HUBS | reentries=2 | B2B Marketing Automation & Customer Engagement SaaS | KVYO | reentries=2 | Bitcoin Mining & Crypto Infrastructure Operators | CIFR | reentries=2 | Bitcoin Mining & Crypto Infrastructure Operators | HUT | reentries=2 | Canadian Big Banks | BMO | reentries=2 | Canadian Big Banks | BNS | reentries=2 | Canadian Big Banks | CM | reentries=2 | Canadian Big Banks | RY | reentries=2 | Canadian Big Bank
2026-08-03 17:08:47	shadow_themes_promoted	Graduated 3 shadow cohort(s) into live mi_themes (2 new)	promoted=['AI data center infrastructure buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Quantum Computing Hardware & Software'] new=['Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers']
2026-08-03 17:08:47	theme_birth_gate	2026-08-03 [promote/observe] birth-gate: 0 birth / 1 join / 2 awaiting-2nd-sighting / 0 held-floor	[{"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.5, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 48.46666666666667, "traj5": 11.733333333333341, "mode": "observe", "name": "AI data center infrastructure buildout"}, {"outcome": "await_second_sighting", "reason": "await_second_sighting", "join_target": null, "join_overlap": null, "ledger_overlap": null, "sightings": 1, "rs_avg": 71.2, "traj5": 58.925000000000004, "mode": "observe", "name": "Alphabet (Google) Platform Re-Rating"}, {"outcome": "await_second_sighting", "reason": "await_second_sighting", "join_target": null, "join_overlap": null, "ledger_overlap": null, "sightings": 1, "rs_avg": 77.9, "traj5": 52.0, "mode": "observe", "name": "Defense Electronics & Aerospace Subsystem Suppliers"}]
2026-08-04 07:04:39	ep_grade_decision	BLZE floor=HIGH judge=HIGH dir=hold outcome=verdict	{"authority": "judge", "judge_outcome": "verdict", "rubric_version": "v3-2026-06-12-catalyst-freshness", "rubric_hash": "eef69fa4", "grade_prompt_version": "v3-2026-06-12-catalyst-freshness", "judge_model": "claude-opus-5", "floor_tier": "HIGH", "floor_catalyst_quality": "game_changer", "judge_grade": "game_changer", "judge_tier": "HIGH", "judge_direction": "hold", "judge_materiality_tier": "transformative", "fire_axes": ["catalyst", "theme", "narrative"], "confidence": 0.9, "rationale": "Fresh, primary-source catalyst: today's 8-K/EX-99.1 (Aug 3, 2026) shows core B2 Cloud Storage revenue ACCELERATING to +34% YoY with a beat above the high end of revenue and EBITDA guidance and margin expansion to 30% \u2014 the load-bearing revenue-acceleration signal for a growth name. Layered on top is a newly disclosed $335M CoreWeave strategic agreement, ~36% of the $936M market cap, which is transf
2026-08-04 08:05:01	ep_rt_universe_catch	BTDR rt 20.5% ≥10 vs delayed 0.9% @ 08:05 ET (SHADOW — would have caught)	{"ticker": "BTDR", "rt_gap": 20.49, "delayed_gap": 0.88, "tick_et": "08:05", "authoritative": false, "basis": "latest_trade", "q1_pass": true, "quote_state": "fresh", "trade_price": 13.7, "minute_close": 13.52, "prev_close_verified": true}
2026-08-04 08:20:01	ep_rt_admit	BTDR rt 14.0% and delayed 24.1% BOTH >=10 @ 08:20 ET — real-time AGREES with the admit	{"ticker": "BTDR", "rt_gap": 14.02, "delayed_gap": 24.1, "tick_et": "08:20", "authoritative": false}
2026-08-04 08:20:07	ep_rt_volume_shadow	BTDR pm_rvol delayed=6.64x rt=22.25x	{"ticker": "BTDR", "alert_date": "2026-08-04", "anchor": "pm", "vol_delayed": 569424, "vol_rt_pm": 1907621, "vol_rt_session": 0, "rvol_delayed": 6.643, "rvol_rt": 22.255, "would_rvol_gate_flip": false, "tick_et": "08:20"}
2026-08-04 08:20:20	ep_catalyst_provenance	BTDR game_changer direct=True	{"ticker": "BTDR", "alert_date": "2026-08-04", "catalyst_quality": "game_changer", "sources": {"sec_6k": 1, "benzinga_pr": 2, "web_perplexity": 1}, "has_direct_source": true}
2026-08-04 08:20:33	judge_theme_gap_candidate_written	Judge: Technology 2026-08-04: BTDR — judge fire_axes=['catalyst', 'narrative', 'theme'], neither lane tracked (surface-only; source='judge_inferred'; visible now via /themes; needs 3+ merged members before /promotetheme will accept it)	
2026-08-04 08:20:33	ep_grade_decision	BTDR floor=HIGH judge=HIGH dir=hold outcome=verdict	{"authority": "judge", "judge_outcome": "verdict", "rubric_version": "v3-2026-06-12-catalyst-freshness", "rubric_hash": "eef69fa4", "grade_prompt_version": "v3-2026-06-12-catalyst-freshness", "judge_model": "claude-opus-5", "floor_tier": "HIGH", "floor_catalyst_quality": "game_changer", "judge_grade": "game_changer", "judge_tier": "HIGH", "judge_direction": "hold", "judge_materiality_tier": "transformative", "fire_axes": ["catalyst", "narrative", "theme"], "confidence": 0.78, "rationale": "Fresh, dated (2026-08-04) wire report of a 16-year, ~$4.7B lease through Bitdeer's Tydal subsidiary with Volta Tydal AS for 121 IT MW \u2014 a contract value ~1.7x the $2.8B market cap, i.e. transformative multi-year revenue visibility, not sector drift. It is concrete and company-specific (named counterparty, dollar value, MW capacity), so the catalyst axis is real even though a primary SEC/press-rele
2026-08-04 08:20:33	filter:large_cap_relvol_floor_shadow	BTDR HIGH rel_vol=0.06x adv$=111,753,733 @ 08:20 ET (SHADOW — alert NOT skipped)	{"ticker": "BTDR", "alert_date": "2026-08-04", "rel_volume": 0.06, "adv_dollar": 111753733.0, "adv_20": 9828824.3525755, "prev_close": 11.37, "alert_timestamp_et": "2026-08-04T08:20:00.037992-04:00", "alert_time_et": "08:20", "score_tier": "HIGH", "gap_pct": 24.1}
2026-08-04 08:20:33	ep_catalyst_suppressed	BTDR catalyst discovery line suppressed (grounded direct-source grade)	ticker=BTDR tier=HIGH cat_len=500 analysis_len=653
2026-08-04 08:20:33	ep_alert	HIGH EP: BTDR gap=24.1% score=80	Catalyst: The fresh catalyst is the August 4, 2026 Benzinga report disclosing that Bitdeer AI executed a 16-year, ~$4.7B lease deal through its Tydal Data Center AS subsidiary with Volta Tydal AS to provide 121 IT megawatts. At a ~$2.8B market cap, a $4.7B long-term contract is transformative — it substantial | Analysis: The fresh catalyst is the August 4, 2026 Benzinga report disclosing that Bitdeer AI executed a 16-year, ~$4.7B lease deal through its Tydal Data Center AS subsidiary with Volta Tydal AS to provide 121
2026-08-04 08:45:07	ep_adv_probe_synthesized	BTDR rank=24 gap=11.3% rel_vol=0.23x	{"ticker": "BTDR", "scan_date": "2026-08-04", "rank_by_gap": 24, "gap_pct": 11.35, "adv_polygon_20d": 9828824, "rel_volume": 0.23, "projected_vol_multiple": null, "today_volume": 2253513}
2026-08-04 08:50:01	ep_rt_floor_flip_down	BTDR delayed 11.5% >=10 > rt 9.6% (stale false-admit REMOVED)	{"ticker": "BTDR", "rt_gap": 9.59, "delayed_gap": 11.52, "acted": true, "pre_entry": false, "authoritative": false, "down_authoritative": true, "tick_et": "08:50"}
2026-08-04 08:55:07	ep_adv_probe_synthesized	BTDR rank=21 gap=12.8% rel_vol=0.25x	{"ticker": "BTDR", "scan_date": "2026-08-04", "rank_by_gap": 21, "gap_pct": 12.75, "adv_polygon_20d": 9828824, "rel_volume": 0.25, "projected_vol_multiple": null, "today_volume": 2452021}
2026-08-04 09:00:12	ep_adv_probe_synthesized	BTDR rank=22 gap=12.0% rel_vol=0.26x	{"ticker": "BTDR", "scan_date": "2026-08-04", "rank_by_gap": 22, "gap_pct": 11.98, "adv_polygon_20d": 9828824, "rel_volume": 0.26, "projected_vol_multiple": null, "today_volume": 2597434}
2026-08-04 09:05:02	ep_rt_floor_flip_up	BTDR rt 10.4% ≥10 > delayed 8.7% @ 09:05 ET (SHADOW — would have caught)	{"ticker": "BTDR", "rt_gap": 10.38, "delayed_gap": 8.71, "tick_et": "09:05", "authoritative": false}
2026-08-04 09:10:08	ep_adv_probe_synthesized	BTDR rank=21 gap=12.1% rel_vol=0.29x	{"ticker": "BTDR", "scan_date": "2026-08-04", "rank_by_gap": 21, "gap_pct": 12.14, "adv_polygon_20d": 9828824, "rel_volume": 0.29, "projected_vol_multiple": null, "today_volume": 2838385}
2026-08-04 09:15:03	ep_rt_floor_flip_down	BTDR delayed 10.8% >=10 > rt 9.3% (stale false-admit REMOVED)	{"ticker": "BTDR", "rt_gap": 9.32, "delayed_gap": 10.82, "acted": true, "pre_entry": true, "authoritative": false, "down_authoritative": true, "tick_et": "09:15"}
2026-08-04 09:20:03	ep_rt_floor_flip_down	BTDR delayed 10.5% >=10 > rt 9.1% (stale false-admit REMOVED)	{"ticker": "BTDR", "rt_gap": 9.06, "delayed_gap": 10.47, "acted": true, "pre_entry": true, "authoritative": false, "down_authoritative": true, "tick_et": "09:20"}
2026-08-04 09:25:02	ep_rt_floor_flip_down	BTDR delayed 10.0% >=10 > rt 9.4% (stale false-admit REMOVED)	{"ticker": "BTDR", "rt_gap": 9.41, "delayed_gap": 10.03, "acted": true, "pre_entry": true, "authoritative": false, "down_authoritative": true, "tick_et": "09:25"}
2026-08-04 09:31:00	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:01	orb_bar_miss	ORB BTDR attempt 1/3 — bar not available, retry 10s	
2026-08-04 09:31:11	orb_bar_fetched	ORB BTDR O=12.81 H=12.85 L=12.48 range=0.37	
2026-08-04 09:31:11	orb_order_placed	ORB BTDR entry=$12.85 stop=$12.48 shares=74 risk=$36 trade_id=304	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:12	orb_triggered	[bar_stream] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:31:19	orb_triggered	[cron_9_31] 8 alerts: ['AEIS', 'BLZE', 'BTDR', 'CAT', 'LIFE', 'PLTR', 'VOYG', 'ZBRA']	
2026-08-04 09:32:00	order_status_reconciled	BTDR order=8bc3ab42: new -> held (live)	order_id=8bc3ab42-3ad2-48b1-b531-d440d4629998 trade_id=304 purpose=stop_loss db_was='new' alpaca_now=held filled_qty=0.0 filled_avg_price=None
2026-08-04 09:32:00	order_status_reconciled	BTDR order=be89aa2c: pending_new -> new (live)	order_id=be89aa2c-d74c-4ed9-be12-bbc25e3d421f trade_id=304 purpose=None db_was='pending_new' alpaca_now=new filled_qty=0.0 filled_avg_price=None
2026-08-04 09:34:51	trade_lifecycle_telegram_attempted	fill BTDR @$12.85 x74	trade_id=304 account=live attempt=1 message_len=76
2026-08-04 09:35:00	unified_allocation_decided	slots=0 winners=[] n=8 (8 lower-ranked)	{"target_date": "2026-08-04", "regime": "Choppy", "open_positions": 5, "slots_available": 0, "n_candidates": 8, "n_winners": 0, "winners": [], "lower_ranked": [{"rank": 1, "ticker": "PLTR", "strategy": "magna53", "composite": 82.14, "legacy_eligible": "eligible"}, {"rank": 2, "ticker": "ZBRA", "strategy": "magna53", "composite": 77.98, "legacy_eligible": "ineligible"}, {"rank": 3, "ticker": "BLZE", "strategy": "magna53", "composite": 77.09, "legacy_eligible": "eligible"}, {"rank": 4, "ticker": "LIFE", "strategy": "magna53", "composite": 74.69, "legacy_eligible": "eligible"}, {"rank": 5, "ticker": "BTDR", "strategy": "magna53", "composite": 74.66, "legacy_eligible": "eligible"}, {"rank": 6, "ticker": "VOYG", "strategy": "magna53", "composite": 73.57, "legacy_eligible": "eligible"}, {"rank": 7, "ticker": "AEIS", "strategy": "magna53", "composite": 69.82, "legacy_eligible": "eligible"}, {"r
2026-08-04 09:35:00	order_status_reconciled	BTDR order=8bc3ab42: held -> new (live)	order_id=8bc3ab42-3ad2-48b1-b531-d440d4629998 trade_id=304 purpose=stop_loss db_was='held' alpaca_now=new filled_qty=0.0 filled_avg_price=None
