ticker,alert_date,gap_pct,ep_score,catalyst_quality,catalyst,claude_analysis,user_label,user_notes
BW,2026-05-11,26.07,96,strong,"BW stock gapped up today ahead of its Q1 2026 earnings report due after market close, with investors betting on potential beats despite bearish analyst outlooks citing ongoing class action lawsuits and legal uncertainty. Recent contract wins like the $35 million power plant maintenance award in February and $13 million boiler cleaning deal in January provided underlying support, but no fresh headlines explain the gap—likely pre-earnings speculation driving the move from support at $0.81 toward r","The news items are vague and lack concrete catalysts. While BW won a $21M coal-to-gas contract and has a $2.8B backlog, these are not new earnings beats or guidance raises with specific numbers. The earnings announcement headline mentions Q1 results are coming but provides no actual reported EPS, revenue, or guidance figures—only generic forward-looking commentary. The class action lawsuit news is actually negative sentiment. Without verified earnings numbers, specific guidance raises, or a transformative deal announcement, this gap-up lacks a genuine, verifiable catalyst.",strong,"40%+ revenue growth, nice technical structure with break out"
BZH,2026-05-11,19.93,84,strong,"No specific news or catalyst found for BZH gapping up today. Recent peer context from Legacy Housing (LEGH) Q1 2026 earnings shows BZH down 1-4% alongside homebuilders like CVCO, HOV, LGIH, DFH amid broader housing softness, with LEGH holding steadier at -0.09%. BZH lacks direct positive triggers in available data.","Beazer Homes (BZH) reported Q2 2026 earnings with a significant +95.83% EPS beat against expectations, despite a modest -8.61% revenue miss. The company delivered results ""right around expectations"" on key operating metrics and highlighted strong liquidity with strategic shifts toward to-be-built sales positioning for future growth. This combination of a substantial earnings beat with operational confidence and forward-looking strategy improvements qualifies as a strong catalyst in a cyclical housing stock.",other,this is M&A buyout offer
CADL,2026-04-20,17.03,100,strong,"CADL gapped up on Friday due to positive media coverage of a recurrent glioblastoma patient success story. CEO Paul Peter Tak highlighted the case of Kyle Donahue, a five-year survivor of recurrent glioblastoma who participated in Candel's clinical trial for investigational viral immunotherapy CAN-3110. The Parade magazine feature described how Donahue, initially given only months to live, achieved extended survival through the company's treatment. Shares jumped 24% on the news, marking the stoc","Candel Therapeutics reported updated Phase 2a clinical data showing extended survival outcomes in lung cancer trials of CAN-2409, demonstrating meaningful clinical progress. Combined with simultaneous announcements of $100M in financing (public offering + RTW Investments agreement) and advancement toward Phase 3 trials and regulatory filing, this represents a concrete, verifiable catalyst that advances the company's path to commercialization. For a clinical-stage biotech, positive Phase 2a efficacy data with clear funding to continue development is a strong catalyst.",strong,"Gap up happened on 4/17, this EP missed the large up day; For biotech, it's super risky with newsflow, I think if we were to trade it, it should be on a tigher leesh, profit take more aggressively, we should treat this group separately."
CALY,2026-05-08,12.22,57.6,strong,"Callaway (CALY) gapped up on a Q1 earnings beat, driven by durable 9%+ sales growth in golf equipment that exceeded expectations and sparked a relief rally. Investors are watching if this strength persists beyond a one-off quarter.","Callaway Golf (CALY) delivered a significant Q1 2026 earnings beat with EPS +34.26% above estimates and revenue +5.63% above expectations, while reporting 9.2% year-over-year sales growth to $687.5 million. The specific numbers (earnings surprise, revenue surprise, YoY growth %) are concrete and verifiable, indicating solid operational execution that justifies the pre-market gap-up. This is a ""strong"" catalyst rather than ""game_changer"" because while the beat is solid, there is no mention of a dramatic guidance raise or transformative event; however, the dual beat on earnings and revenue with positive commentary suggests momentum for a previously under-followed consumer discretionary name.",routine_mislabeled,
CHE,2026-04-24,17.94,100,strong,"The search results don't contain information about a gap up in CHE stock or a specific recent catalyst. The most recent news in these results is from April 22, 2026, discussing Q1 earnings expectations ahead of the company's report. The company missed revenue and EPS guidance last quarter, with flat year-over-year revenues of $639.3 million.

The stock is currently trading around $377-$384 with an average analyst price target of $443, representing roughly 15% upside potential. Chemed has risen 1","Chemed delivered a significant Q1 2026 earnings beat with +9.28% EPS surprise and +2.59% revenue surprise, with sales reaching $657.5M (up 1.6% YoY) and non-GAAP EPS of $5.65. The concrete earnings beat combined with revenue upside on a profitable healthcare services company with established operations (VITAS hospice/palliative care and Roto-Rooter) qualifies as a strong catalyst that can justify the pre-market gap up of 10.2%.",routine_mislabeled,single digits beat is routine
CMPS,2026-04-20,22.37,100,strong,"CMPS stock gapped up due to a White House executive order signed by Trump to accelerate research and access to psychedelic drug treatments, which Compass Pathways publicly commended as recognizing the mental health crisis urgency. The company issued statements on April 18-19 supporting the order, boosting investor sentiment around its COMP360 psilocybin therapy ahead of potential FDA review and approval. Stocktwits noted the overnight surge into Monday trading, with related ""shroom stocks"" risin","The primary catalyst is Trump's executive order to fast-track psychedelic research and expand patient access, which directly benefits CMPS as a leading psilocybin therapy developer in Phase III. Secondary support comes from CMPS's presentation of Phase 3 COMP360 depression data and commercialization readiness at the Needham conference, with management signaling an NDA filing timeline and potential 2026 launch. Together, these create a favorable regulatory environment and company-specific momentum for a biotech approaching late-stage approval.",strong,"delayed EP, first day didn't work"
COMP,2026-05-06,38.43,100,strong,"Compass (COMP) stock gapped up after Q1 2026 earnings released after market close on May 5. The key catalysts were an earnings beat on the bottom line and raised guidance signaling faster-than-expected growth, which surprised the market and drove a 17.6% surge. This followed an 8.7% weekly drop beforehand amid pre-earnings caution over agent counts, revenue trends, Rocket alliance updates, and the ongoing price-fixing lawsuit. Analysts expected a $0.17 per share loss on $2.67 billion revenue, bu","Compass delivered a massive Q1 2026 earnings beat with +118.18% EPS surprise and +0.94% revenue surprise, posting $2.70B in revenue (up 99.4% YoY) alongside record adjusted EBITDA and positive forward guidance. The Anywhere deal closing and accelerated cost synergies provide operational momentum, making this a strong catalyst with concrete numbers and clear execution on integration strategy.",routine_mislabeled,"Hard to tell, strong EPS but barely any revenue growth, EPS can be gamed or a one time thing, need to dig deep into news to see where EPS growth came from, this is difficult "
CPA,2026-05-14,13.12,67.7,strong,"Copa Holdings (CPA) gapped up due to its Q1 earnings beat announced yesterday, reporting $5.16/share versus estimates—a 16.5% surprise. The results showed 20.5% EPS growth and 24.6% operating margin expansion from strong operational performance.","Copa Holdings (CPA) reported Q1 2026 earnings with a +16.57% EPS beat and +1.80% revenue beat versus Wall Street estimates, coupled with strong operational metrics including 16.7% YoY RPM growth in April 2026. This earnings beat with solid operational momentum qualifies as a strong catalyst for a neglected airline stock, though the absence of explicit forward guidance raise in the news prevents a ""game_changer"" classification.",routine_mislabeled,"This worked out kinda but earnings kinda average, not in any hot themes either, technicals are avg"
CRI,2026-05-06,18.37,84,strong,"No direct catalysts for CRI (Carter's, Inc.) appear in the latest May 1, 2026 stock market news summary. Energy sector Q1 earnings from XOM, CVX, and OXY drove broader market tone, with biotech approvals boosting ARVN, INCY, and CELC, but nothing specific triggered a CRI gap up. Check intraday filings or premarket volume for unlisted retail/apparel updates.","Carter's reported Q1 2026 earnings and revenue that beat Wall Street expectations, with a +500% earnings surprise and +2.89% revenue surprise, driving shares up 2%+ in premarket trading. The earnings beat on a previously underappreciated children's apparel company combined with the recent CEO appointment of an experienced retail executive (Sharon Price John from Build-A-Bear) signals operational turnaround momentum and renewed investor confidence in management execution.",routine_mislabeled,"Again, EPS strong but revenue poor, need to dig deeper into reason, not hot theme; says turnaround so could still be a good idea, but hard to tell"
CRMD,2026-05-14,12.35,64.8,strong,"CRMD stock gapped up on strong Q1 2026 earnings beat reported before market open today, with EPS of $0.34 meeting consensus estimates after guidance was slashed low following Q4 2025's -29% miss. DefenCath commercial momentum stabilized sentiment, driving the gap despite trading 22.68% below 200-day MA at $7.50 prior close. Analysts maintain 4.25 buy rating and $15 target implying 100% upside, fueling the intraday surge past historical 17% earnings volatility average.","The news items provided are generic summaries and analyst commentary with no concrete catalyst. While there is mention of CorMedix (CRMD) analysts clustering price targets around $13–$15, this is speculative analyst opinion, not an actual company-specific catalyst like an earnings beat, guidance raise, FDA approval, or major contract. The earnings preview article explicitly states CRMD ""does not possess the right combination of the two key ingredients for a likely earnings beat,"" suggesting no positive surprise is expected. Without specific reported earnings numbers, guidance figures, or a verifiable catalytic event, this gap-up appears to lack fundamental support and should be treated as routine intraday volatility.",routine_mislabeled,
CRML,2026-04-27,10.34,72,game_changer,"CRML gapped up on April 22, 2026, opening at $10.94 from a prior close of $10.34 and trading around $11.35 on high volume of over 4.2 million shares. The latest catalyst was the company's announcement of a $60 million private placement of nearly 6 million common shares priced at $10 each, signaling strong institutional demand and capital raise for its lithium projects like Wolfsberg and Tanbreez. High institutional ownership at 86% supported the move, with recent stake increases including Royal ","Critical Metals secured government approval from Greenland to increase its ownership stake in Tanbreez Mining—one of the world's largest rare earth deposits—from ~42% to 92.5%, effectively gaining primary control of the asset. This transformative deal eliminates previous dilution concerns and positions CRML as a major stakeholder in a strategic rare earth project during a period of geopolitical tension and supply chain diversification away from China, aligning with Trump administration priorities on critical minerals.",game_changer,"I agree with game_changer, however, the dates are all wrong; the greenland goverment approval was 4/17, and 4/21 is private placement, and 4/27 is euporpean lithium (another company). SO which day is EP? I'd say 4/17, however, this didn't work out and would be monitor for delayed EP."
CSCO,2026-05-14,16.32,100.8,strong,"Cisco (CSCO) stock gapped up 12.3% to $115.15 after Q1 CY2026 earnings beat expectations with $15.84 billion in revenue, up 12% year-over-year and 1.9% above Wall Street estimates. Non-GAAP EPS of $1.06 topped consensus by 2.3%. Q2 guidance of $16.8 billion midpoint implies 14.5% year-over-year growth, 6.5% above analyst forecasts. AI-driven revenue expansion and strong data center trends fueled the reaction, with further gains to $120.96-$122.11 reported post-earnings.","Cisco reported Q3 earnings that beat expectations and delivered a better-than-anticipated sales forecast for the following quarter, triggering a ~22% premarket surge. The company simultaneously announced a $1 billion AI-focused restructuring plan and 4,000 job cuts designed to sharpen focus on high-growth segments like artificial intelligence, signaling strategic pivot and operational discipline. This combination of solid earnings beat + forward guidance raise + major strategic AI restructuring qualifies as a strong catalyst.",routine_mislabeled,"routine on the earnings, but strong on AI affliliation; didn't work first day, would be monitor for delayed EP, fishhook, etc."
CVLT,2026-04-28,9.81,74.9,strong,"Commvault (CVLT) stock gapped up today due to positive market reaction to two key announcements on April 22, 2026: Clumio extending its cloud-native resilience capabilities to Google Cloud Storage with immutable, air-gapped backups for AI and analytics workloads (early access started then, general availability summer 2026), and Commvault Cloud becoming available on Google Cloud Marketplace with features like threat hunting, automated protection, and usage-based pricing. These expansions address ","Commvault (CVLT) reported Q1 CY2026 earnings that beat revenue expectations with sales of $311.7 million, up 13.3% year-over-year, coupled with a CFO statement highlighting AI boosting cyber resilience demand. This represents a concrete earnings beat on a neglected stock with positive forward-looking commentary from management about AI-driven demand tailwinds, justifying a gap-up move.",routine_mislabeled,
CYRX,2026-05-05,15.57,100,strong,"Cryoport (CYRX) gapped up due to its Q1 2026 earnings release on May 4, showing 16% year-over-year revenue growth to $47.8 million, beating estimates of $44.87 million, with commercial CGT revenue up 26% to $9.1 million and raised full-year guidance to $192-196 million. EPS missed at -$0.25 vs. -$0.22 expected, but strong growth in life sciences services (18% up, led by 21% in BioStorage/BioServices) and products (15% up from cryogenic demand), plus upcoming BioServices launches in Paris Q3 and ","Cryoport reported Q1 2026 earnings with a +6.41% revenue beat (beating revenue estimates), demonstrating continued momentum across its integrated services and products platform with double-digit revenue growth. While EPS missed by -15%, the revenue beat combined with management's positive commentary on platform momentum and growth trajectory qualifies as a solid earnings surprise that could justify a pre-market gap. The concrete revenue outperformance on a company in growth mode in industrials/bioservices is a tangible catalyst.",,
EOSE,2026-05-13,31.11,115.2,strong,"EOSE gapped up due to a Joint Development Agreement with Turbine-X Energy for on-site power infrastructure targeting hyperscale AI data centers, combining gas-fired turbines with up to 2 GWh of Eos's zinc-based Indensity battery storage over three years, with first deployments in 2027. The deal news drove a 10-14% intraday surge on May 11, following a 22.4% jump to $7.79 on May 8 amid AI power demand momentum. Upcoming earnings are expected to show a loss of 22 cents per share on $58.7 million r","Eos Energy Enterprises announced a joint development deal with Turbine-X Energy to pair zinc-based battery storage with gas-fired power for large-scale AI data centers. This is a major strategic partnership targeting the high-growth AI infrastructure market, representing a significant expansion into a new, high-value customer segment. The partnership addresses critical infrastructure needs and validates Eos's technology for enterprise-scale applications beyond traditional utility markets.",strong,"reads strong, but there's already a huge gap up on 5/8, need to understand that first as that would've been a much better entry"
EVER,2026-05-05,19.99,100,strong,"EverQuote gapped up on Q1 2026 earnings reported May 4. The company delivered revenue of $190.9M, up 15% year-over-year, and adjusted EBITDA of $29.3M. The stock is up 19-22% following the report.

However, the modest post-earnings move suggests the beat was largely anticipated by the market. Management also guided Q2 revenue to $185.0M-$195.0M and executed a $19.9M stock repurchase. The repurchase signals management confidence, but the muted reaction to strong results indicates the market had a","EverQuote reported Q1 2025 earnings that exceeded guidance on multiple metrics: revenue beat by +5.84%, earnings surprise of +18.61%, and management stated results exceeded the high end of guidance range for revenue, VMD, and Adjusted EBITDA. This solid earnings beat combined with confirmed guidance raise (management exceeded their own forward guidance) qualifies as a strong catalyst for the gap-up move.",routine_mislabeled,"earnings is good but routine; the technical structure is also avg, although it gapped up 60%+ on EP day and above 200d, but on the chart it basically stopped at congestion / previous high area but without enough strength to gap over it. Those previous peak were in August '24, March '25, and Dec '25."
FLEX,2026-05-06,21.34,96,strong,"Flex reported Q4 fiscal 2026 earnings this morning before market open, beating analyst expectations with adjusted EPS of $0.93 versus consensus estimates, on revenue of $7.48 billion. The company raised full-year FY2027 guidance to $32.3 billion to $33.8 billion, signaling strong confidence in continued growth momentum.

The most significant catalyst driving the gap-up move is management's announcement of a planned tax-free spin-off of its Cloud and Power Infrastructure segment (SpinCo) schedule","Flex reported fiscal Q4 2026 results with adjusted EPS of $0.93 (beat estimates), revenues of $7,477M (+8.07% surprise), and net income of $250M, alongside announced plans to spin off its Cloud and Power Infrastructure segment. The combination of solid earnings beat, revenue beat, and a transformative corporate restructuring (spin-off) to unlock shareholder value drives the strong classification, particularly given Flex's exposure to the high-growth data center and AI markets.",strong,"earnings is routine, but the spin of AI unit news is potentially game changer, this would be one to monitor"
FLNC,2026-05-07,29.72,96,strong,"FLNC stock gapped up due to pre-earnings anticipation. The company reports earnings today, May 6 after market close, with historical data showing shares rising 9 out of the last 12 times ahead of releases, including a 2-day pre-earnings run-up 75% of the time for an average 3.1% gain. Current price around $12.08 reflects strong trader bidding into the event despite a -36.3% post-earnings drift history.","Fluence Energy (FLNC) reported Q2 FY2026 earnings with an EPS beat (+12.71% surprise) and significant bottom-line outperformance, driven primarily by major hyperscaler orders for energy storage products. Although revenue missed estimates by -28.50%, the earnings beat combined with strong forward-looking demand signals from hyperscaler contracts (reflected in the 27% after-hours surge and 20.6% prior rally) represents a solid catalyst on a historically neglected utilities/energy storage name. The contrast between revenue miss and earnings beat, combined with visible demand acceleration from large customers, elevates this above routine results.",strong,"This one is tricky, i'd say strong more based on forward looking speculation from orders from hyperscaler which is part of the AI theme, otherwise, earnings is routine"
FPS,2026-05-14,17.75,84,strong,"The FPS Food Process Solutions agreement with OptiCept Technologies AB, announced recently, is the key catalyst driving the gap up in FPS stock. This deal is positioned as a major milestone for OptiCept's profitability and global expansion, shifting it toward scalable revenue, with a board chairman change timed to capitalize on the commercial breakthrough and path to positive cash flow. No other direct FPS catalysts appear in current feeds.","The recent news items are vague and lack concrete catalysts. While FPS is described as ""quietly repositioning"" and presenting at a trade show, no specific earnings numbers, guidance figures, or major contract awards are disclosed. The Barclays analyst mention is generic praise without a dated upgrade, and references to the ""AI-driven data center boom"" are market commentary rather than company-specific catalysts. No actual earnings release with beat/miss metrics or guidance raises is confirmed in these summaries.",routine_mislabeled,"This looks like a recent IPO so earnings is hard to gauge, there needs to be a clear catalyst aside from earnings"
FROG,2026-05-08,12.94,60.5,strong,"JFrog (FROG) shares gapped up 6% on strong earnings and upbeat forecasts from software peers like Atlassian, which lifted its annual outlook, Twilio, which beat Q1 revenue estimates and raised guidance citing AI catalysts, Salesforce, and ServiceNow. This boosted sentiment in the underperforming SaaS sector, positioning it for a rebound amid broader software resilience despite geopolitical tensions like U.S.-Iran ceasefire doubts.","JFrog reported Q1 2026 earnings that beat both revenue (+4.51% surprise) and EPS (+24.60% surprise) estimates, with revenue reaching $154 million (up 25.8% YoY), while management raised guidance citing accelerating cloud/AI-driven software trends. This represents a solid beat with implied guidance raise, characteristic of a strong catalyst for a software platform company in a high-growth segment.",routine_mislabeled,It's a good delayed EP candiate though based on the chart
FTAI,2026-04-30,15.13,84,strong,"The search results don't contain information about FTAI stock or a gap up event for that ticker. The results cover SPY institutional buying, Chow Tai Fook (CJEWY) gapping down, Avis (CAR) collapsing from a short squeeze unwind, and Franklin Resources (BEN) volatility, but nothing specifically addresses FTAI.

To provide the catalyst you're looking for, I would need search results that directly cover FTAI trading activity and news from today or recent sessions.","FTAI Aviation reported Q1 2026 earnings with a significant revenue beat (+8.37% surprise) and strong year-over-year revenue growth of 65.5% to $830.7 million, combined with a newly announced multi-year CFM56 engine repair and support services agreement with CFM International. While the earnings included a modest EPS miss (-19.88%), the substantial revenue outperformance, strong organic growth trajectory, and strategically important long-term contract with a major OEM (CFM International) covering high-value maintenance services represent a credible catalyst for the gap-up. This combination of operational beat plus major partnership contract qualifies as ""strong.""",routine_mislabeled,
